loan_id,borrower_id,emi_missed_last_3,balance_trend_slope,bounce_count_3m,income_coverage_ratio,credit_debit_ratio,utilisation_rate,months_to_completion,late_payment_rate,utility_miss_rate,min_balance_ratio,loan_to_income_ratio,employment_risk,label
d5c37604-7e45-4697-b4ce-0ad10f2209da,68cc7220-8b76-4166-a3f0-56cf996c0d71,0,-5806.460285714287,0,3.110661034621237,1.3861024765678818,0.46285537644787644,19,0.16666666666666666,0.0,1.949239747552713,1.2439242823769598,0.5,False
abab1b2a-95ea-4136-bbc7-8c56b9ea6f2d,1993b817-8170-4ab7-b4d4-526464718380,0,1003.7965714285714,0,3.4135809240100987,1.360561335336566,0.3263837704918033,6,0.0,0.0,2.1339469217624236,0.14999618862143665,0.0,False
7fba645e-2174-4d23-86d2-4f6206ee52a4,e62b9250-9449-4ee0-ba1a-a7a153bd8b2b,0,-6096.307142857141,0,3.814646511281314,1.3926250785179897,0.39935205226748655,28,0.0,0.0,2.4153674688646114,1.4054465472056548,0.5,False
de1daca8-8b78-4a14-9ed7-02298785aa04,e4525d3e-f9bd-4ec3-87cf-6dedf8b280fa,0,-13105.71,1,3.058905896372339,1.4625563186728296,0.7633728901391768,34,0.0,0.0,1.9167664688555504,1.9767830026585713,0.5,False
21690ffd-4f72-401c-b753-8eb07747dfa1,b5ff392d-114a-410d-b62e-7cd445cee6ac,0,-623.138857142857,0,3.5032415278250033,1.3287595495054836,0.6522197913322633,92,0.16666666666666666,0.0,1.936020627904341,1.6071649321668051,0.0,False
cc127da4-60ab-4607-997a-b0d9661e9473,e51f9bf6-4e48-4d00-9269-ed69306af730,0,11867.315999999997,1,3.1909944938516603,1.371162776416928,0.5948719598108747,67,0.16666666666666666,0.16666666666666663,1.991995347686935,8.471450011835998,0.5,False
73bdba43-793b-4565-8ce6-eb7f37dd7187,83e16c55-ec0d-4878-be77-8f2cb4ae52f9,0,5473.601714285716,0,3.5510592906479967,1.4201973817269855,0.6478984815618221,99,0.16666666666666666,0.0,2.2365812489882946,2.33502420827484,0.5,False
d1f3695a-cdea-4700-a340-bea84be2c183,1b889cca-1846-45e8-a504-d0a9c4345979,0,355.9940000000004,0,2.8281492979431313,1.3446533284484945,0.8485449795081967,63,0.0,0.0,1.8717645758191341,0.7629572498167807,0.0,False
ee396445-c739-4b66-aee2-53dbb49a8d26,f8b6636c-1335-4724-a21d-ae4802899a67,3,2992.0737142857147,7,0.6020967959362882,1.0054943206595737,0.8830500923076923,143,1.0,0.0,0.24249888130186106,6.906965791888233,0.5,True
73353b0d-11fc-4924-9745-e337941ad532,45df213d-2be9-4169-bbf0-71dead0efdba,1,-705.5397142857128,4,0.7314638187790875,1.0301481652767632,0.6054140343234323,95,0.8333333333333334,0.16666666666666663,0.07532491570631958,8.80804203190681,0.5,True
1d82f22f-5e9a-4782-9bd1-8799e19721d4,90d588ee-394c-441c-a91f-dbae62333227,0,2057.244571428572,0,2.6537653934554064,1.3573877702088268,0.5381099039145908,59,0.16666666666666666,0.0,1.7148918044887795,8.129482932483285,0.0,False
1895d01a-50bc-46d7-b5b3-e5518c42b8e2,8fe60dcf-065e-463c-8417-c6c934336eb3,0,-26397.88342857143,0,3.2322626427774903,1.4917430035067203,0.22097620185922975,8,0.16666666666666666,0.0,2.0097840644711233,6.542969496728341,0.0,False
6210f724-69f4-48ac-8e9b-7af7307a0c9b,dbc91ce0-2973-4f5d-8af1-82b37dba82cc,2,-341.76114285714306,4,0.838120028830707,1.0649295289412206,0.6393545212765958,31,0.8333333333333334,0.16666666666666663,0.34624941245603796,0.5395953023751435,0.5,True
3a3cf409-8435-48de-b314-fdf0529abac2,9c9491b5-efb6-45de-b28b-a6916ba9581f,2,-3609.8768571428577,2,0.7371530910125326,0.9838729606838551,0.27749877072381723,9,0.8333333333333334,0.0,0.17979848784471125,16.0439561580246,0.5,True
4da9f9cd-78f4-485f-ada8-72ee30184650,bc7273ca-ea70-4434-8d9d-59a794788db3,0,-9701.718285714276,0,3.3832752087448505,1.3578211284216266,0.7566842919303798,126,0.16666666666666666,0.0,2.34882980974043,41.227429287130775,0.0,False
37a5ba9b-11e7-4b64-92d3-98413a5adfc2,be65bb93-4bbd-4c4d-93b1-e8ed87057e0b,0,14837.74742857143,0,3.017328069108063,1.3956146522432893,0.3988395495694414,21,0.0,0.0,1.8385732375884536,11.412466757946243,0.5,False
a0c0b75e-e5a8-40d0-b7f7-e04a900e2914,84239039-3ab2-4c8b-9242-4860b012033b,2,3078.016285714285,4,0.8604230847758003,1.060136739683229,0.6079583566238121,26,0.8333333333333334,0.5,0.21642003066064608,5.072373038134265,1.0,True
8035a73d-0201-4cda-84cb-af0c44c6772c,cbd59e41-328c-4341-a109-31348403690f,0,-637.3994285714297,0,3.691273842070368,1.4249706009545078,0.2127989430894309,9,0.3333333333333333,0.0,2.3803518763571367,2.412092182868121,0.0,False
0a2ffcf5-30b1-4c56-a926-9033781c9837,ef5a5fac-ef79-4419-8994-1d97e47b7fc9,1,1829.0211428571424,7,0.7229361712591625,1.0432382701871954,0.983635910937265,176,0.5,0.0,0.1951261483271675,21.33580157133187,0.5,True
ba8ed8b3-13dc-4418-8e9b-1b07275ab351,2cf8937a-044f-40a1-8897-94d8551e4198,1,-276.53799999999995,4,0.678155230678924,1.0320370035453648,0.4417967264573991,14,1.0,0.16666666666666663,0.1991856303645915,1.8116551330039206,1.0,True
fc424d8f-9bc2-44ce-ad92-9595ed843e58,da5aebd8-9825-4b9f-9f4b-0a28fe8e9b7f,0,2987.9985714285717,0,2.3784120773987047,1.3092626977302195,0.08589150884744141,9,0.0,0.0,1.3901811498891217,4.611573209419412,0.0,False
